id,groupid,size
Aborto,1,16
Acueducto y alcantarillado,1,20
Afrocolombianos,1,9
Agropecuario y agrcola,1,14
Comunicaciones,1,7
Conflicto armado,1,27
Congreso,1,13
Corrupción,1,35
Cultura,1,11
Delicuencia,1,1
Democracia,1,13
Derechos,1,22
Desarrollo,1,42
Desmovilización,1,18
Discriminación,1,14
Drogas,1,13
Economía,1,19
Educación,1,8
Elecciones,1,1
Energa elctrica,1,11
Familia,1,3
Fuerza pública,1,8
Género,1,1
Geografía,1,5
Grupo armado,1,1
Guerra,1,2
Impuestos,1,20
Indígenas,1,6
Ingresos,1,16
Judicial,1,1
Laboral,1,14
Líderes sociales,1,8
Medio ambiente,1,4
Minería,1,8
Minoría sexual,1,2
N/A,1,1
Notariado y registro,1,2
Ordenamiento Territorial y regiones,1,1
Organismos de Control y Ministerio pblico,1,6
Participación ciudadana,1,7
Participación electoral,1,1
Partidos políticos,1,1
Paz,1,2
Pobreza,1,13
Proceso de paz,1,1
Propiedad privada,1,2
Racismo,1,6
Rama Ejecutiva,1,2
Rama Judicial,1,1
Rama Legislativa,1,2
Relaciones internacionales,1,1
Religión,1,6
Representación ciudadana,1,1
Salud,1,7
Seguridad,1,1
Seguridad social,1,7
Servicios públicos,1,1
Socioeconomía,1,11
Subsidio,1,7
Tránsito y transporte,1,4
Vivienda,1,2
Votación,1,2
Aborto,2,1
Afrocolombianos,2,1
Conflicto armado,2,1
Congreso,2,1
Corrupción,2,1
Desmovilización,2,1
Discriminación,2,1
Drogas,2,1
Familia,2,1
Fuerza pública,2,1
Aborto,3,2
Acueducto y alcantarillado,3,2
Afrocolombianos,3,1
Agropecuario y agrcola,3,3
Comunicaciones,3,3
Conflicto armado,3,6
Congreso,3,6
Corrupción,3,7
Cultura,3,3
Delicuencia,3,3
Democracia,3,3
Derechos,3,3
Desarrollo,3,9
Desmovilización,3,3
Discriminación,3,2
Drogas,3,2
Economía,3,6
Educación,3,3
Elecciones,3,1
Energa elctrica,3,2
Fuerza pública,3,3
Geografía,3,1
Grupo armado,3,3
Guerra,3,2
Impuestos,3,5
Indígenas,3,1
Ingresos,3,3
Laboral,3,2
Líderes sociales,3,2
Minería,3,1
Ordenamiento Territorial y regiones,3,1
Organismos de Control y Ministerio pblico,3,4
Participación ciudadana,3,1
Paz,3,3
Pobreza,3,4
Proceso de paz,3,1
Racismo,3,1
Relaciones internacionales,3,4
Religión,3,2
Salud,3,2
Seguridad,3,2
Seguridad social,3,2
Soborno,3,1
Socioeconomía,3,3
Subsidio,3,2
