id,groupid,size
Aborto,1,2
Acueducto y alcantarillado,1,9
Afrocolombianos,1,2
Agropecuario y agrcola,1,5
Comunicaciones,1,2
Conflicto armado,1,7
Congreso,1,1
Corrupción,1,13
Cultura,1,5
Delicuencia,1,1
Democracia,1,4
Derechos,1,5
Desarrollo,1,16
Desmovilización,1,4
Discriminación,1,2
Drogas,1,1
Economía,1,6
Educación,1,3
Energa elctrica,1,2
Fuerza pública,1,1
Grupo armado,1,1
Guerra,1,1
Impuestos,1,7
Indígenas,1,2
Ingresos,1,5
Laboral,1,5
Líderes sociales,1,4
Medio ambiente,1,2
Minería,1,2
N/A,1,1
Organismos de Control y Ministerio pblico,1,1
Participación ciudadana,1,2
Paz,1,1
Pobreza,1,5
Racismo,1,2
Relaciones internacionales,1,1
Religión,1,3
Salud,1,4
Seguridad,1,1
Seguridad social,1,4
Socioeconomía,1,4
Subsidio,1,4
Aborto,2,1
Afrocolombianos,2,1
Conflicto armado,2,1
Congreso,2,1
Corrupción,2,1
Desmovilización,2,1
Discriminación,2,1
Drogas,2,1
Familia,2,1
Fuerza pública,2,1
Aborto,3,1
Afrocolombianos,3,1
Conflicto armado,3,1
Democracia,3,1
Derechos,3,1
Desarrollo,3,1
Discriminación,3,1
Educación,3,1
Indígenas,3,1
Líderes sociales,3,1
Participación ciudadana,3,1
Racismo,3,1
Salud,3,1
Seguridad social,3,1
Subsidio,3,1
