id,groupid,size
Afinidad política,1,39
Agropecuario y agrícola,1,10
Clientelismo,1,9
Comunicaciones, medios y tecnologías de la información,1,16
Conciliación,1,2
Confianza,1,2
Conflicto armado,1,11
Congreso,1,11
Corrupción,1,3
Datos personales,1,22
Delicuencia,1,4
Democracia,1,22
Derechos,1,9
Desarrollo,1,1
Desmovilización,1,2
Discriminación,1,2
Drogas,1,9
Economía,1,22
Educación,1,5
Elecciones,1,7
Energía eléctrica,1,1
Familia,1,7
Fuerza pública,1,8
Geografía,1,1
Grupo armado,1,11
Ingresos,1,6
Judicial,1,6
Laboral,1,13
Mujer,1,2
Ordenamiento Territorial y regiones,1,1
Organismos de Control y Ministerio público,1,3
Participación ciudadana,1,26
Participación electoral,1,4
Partidos políticos,1,8
Patria,1,2
Pensión,1,4
Pobreza,1,3
Política,1,11
Principal problema,1,1
Proceso de paz,1,1
Propiedad privada,1,1
Protesta,1,8
Racismo,1,4
Rama Ejecutiva,1,25
Rama Judicial,1,15
Rama Legislativa,1,2
Relaciones internacionales,1,10
Religión,1,4
Representación ciudadana,1,4
Salud,1,6
Salud mental,1,2
Seguridad,1,5
Servicios públicos,1,2
Sindicatos,1,2
Soborno,1,9
Socioeconomía,1,3
Subsidio,1,1
Terrorismo,1,1
Votación,1,5
